Gene,mobile_EPS_1,serotype_O11_dominant,mobile_abx_metal_resistance,ST549,China_ST463,mobile_pKLC102_type_1,mobile_phage_1,mobile_ST773_ST1203_aux,ST235,mobile_PAGI1,mobile_phage_2,serotype_O4_dominant,serotype_O3,mobile_LESGI3,ST111,clone_C_associated,ST309,ST277_dominant,serotype_O6_dominant,mobile_LHR,ST244,mobile_EPS_2,ST179_ST155,ST27,mobile_pKLC102_type_2,mobile_PAGI46,ST253,mobile_phage_3
patD,0.0,0.0,0.0,0.0,0.7083546521318503,0.0,0.0,0.0,0.0,1.051536436939394,0.0,0.0009941624947604115,0.0,0.0,0.0,0.3002569985927703,0.36743232466880504,0.0,0.0,0.0,0.13594588171804922,0.0,0.0,0.0,0.0,0.0,0.43238234657314506,0.0
group_32848,0.0,0.0,0.05179090701908361,0.0,0.0,0.0,0.0,0.06565673265115739,0.0,0.0,0.0,0.11135307103002302,0.0,0.11181347010735379,0.002353598696382846,0.0,0.0,0.0,0.051146025930225866,0.24252638307475935,0.0,0.05375858882214062,0.12481031097368853,0.16761175775757087,0.23344199800943571,0.26282266149455785,0.0,0.15357803524995428
group_35370,0.0,0.07304221181647295,0.0,0.0,0.0,0.0,0.15334445520836865,0.1886032662033954,0.0,0.0,0.008928183345699114,0.04043435545100216,0.0,0.0,0.0,0.957414741956472,0.0,0.09640133219245325,0.0,0.0,0.02487424211638484,0.0,0.0,0.0,0.3211534327832357,0.0,0.060426647874191726,0.0
group_21595,0.0,0.0,0.0,0.9391836846025179,0.0,0.0,0.0,0.0008579673435914817,0.0,0.0,0.0,0.0,0.3552515393600311,0.0,0.0,0.9522565005093445,0.0,0.9622274194974242,0.0,0.0,0.0,0.0,0.0,0.9421579456947203,0.0,0.0,0.03280923382742137,0.0
ptxS,1.0039295951700966,0.001011842859443314,0.08222434518903485,0.22517816505249325,0.09993706081753444,0.0,0.13470704847115994,0.25489047466950515,0.8536570855937533,0.0,0.07419005049961296,0.0,0.0,0.006002626922889333,0.8506819415139718,0.8138962390244248,0.8385217877626112,0.08042629901267356,0.0,0.12553715325123416,0.009724899592447343,0.9998729618738516,0.0,0.06982619565548083,0.0,0.06391362248513428,0.8562748936970821,0.07879320292086835
group_25616,0.1746635504488087,0.327478026382693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3483182259700171,0.0,0.01410043817428067,0.0,0.19483658726774652,0.0,0.2773755912524636,0.0,0.0,0.13945822766982,0.0,0.041371832309062676,0.0,0.0,0.0,0.0,0.0
group_18658,0.0,0.0,0.15370376461380245,0.0,0.6991060078825487,1.1120048580147608,0.005003848224901229,0.0,0.05299638213644318,0.0,0.0012396281300881846,0.0,0.0,0.016500280861913467,0.89923225003026,0.7254311235500572,0.0,0.2232329340568241,0.0,0.056458643298147315,0.10254120262012541,0.0,0.0868764714672808,0.12749593501410705,1.0100963217658088,0.0,0.0,0.0032517268899596627
csy3,0.10970323916243249,0.19316747388910163,0.0,0.0,0.0,0.0,0.0,0.3108068471162762,0.0,0.0,0.0,0.3152493704435512,0.7524106157880396,0.0,0.0,1.0196082869413547,0.0,0.0,0.3354865532159185,0.0,0.9129480128602006,0.0,0.0,0.03707394249379558,0.0,0.10109226618727302,0.806731104346241,0.0
group_19229,0.03689384995243277,0.735631284121085,0.023114306168942084,0.9637050323302228,0.9166046914041333,0.0,0.01943140708911771,0.17842146658573638,0.8482931834442672,0.05756710045085672,0.07751707174795884,0.8632961492548679,0.8693438359125711,0.03843403922733164,0.8797939284836832,0.8821411845805434,0.8573902754438623,0.7643360401469771,0.7952472569780857,0.014455584342596443,0.8226325461438538,0.0,0.8022584054052407,0.7037008246521596,0.0398383574213397,0.004019151140308644,0.8263859595143158,0.02460746710334057
group_21643,1.0039295951700966,0.001011842859443314,0.08222434518903485,0.22517816505249325,0.09993706081753444,0.0,0.13470704847115994,0.25489047466950515,0.8536570855937533,0.0,0.07419005049961296,0.0,0.0,0.006002626922889333,0.8506819415139718,0.8138962390244248,0.8385217877626112,0.08042629901267356,0.0,0.12553715325123416,0.009724899592447343,0.9998729618738516,0.0,0.06982619565548083,0.0,0.06391362248513428,0.8562748936970821,0.07879320292086835
group_15505,0.01140075321087472,0.18594780015171194,0.0,0.009663969613053226,0.0,0.0,0.0485833419255833,0.0,0.0,0.0,0.03058067669144937,0.25261889159636586,0.02015959865784893,0.0,0.0,0.0,0.0,0.45218502992574133,0.18353217051894957,0.016839267888158378,0.0,0.06502308283675388,0.10457399343633626,0.0,0.326448153940693,0.017758771849336635,0.12362849384890336,0.0
